,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,65.0,34.0,0.31,0.08,14.79,0.55,6.14,14.79,629.0,1153.0,2.72,2.0,7.22
1,38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,60.0,38.0,0.22,0.12,11.03,0.43,4.58,11.03,334.0,776.0,2.41,2.0,6.48
2,39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,66.0,38.0,0.27,0.1,11.95,0.56,5.0,11.95,567.0,1011.0,2.71,11.0,7.23
3,40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,69.0,28.0,0.42,0.09,12.59,0.37,5.18,12.59,386.0,1038.0,2.46,4.0,5.75
4,41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,60.0,24.0,0.43,0.08,12.4,0.44,5.14,12.4,451.0,1011.0,2.51,2.0,6.79
5,42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,45.0,23.0,0.32,0.09,12.32,0.45,5.11,12.32,330.0,722.0,2.47,5.0,6.74
6,43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,27.0,12.0,0.38,0.08,9.74,0.43,4.07,9.74,191.0,444.0,2.44,0.0,6.42
7,44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
8,45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,37.0,13.0,0.48,0.12,11.78,0.4,4.87,11.78,170.0,420.0,2.23,2.0,6.31
9,46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,67.0,41.0,0.24,0.09,14.16,0.47,5.85,14.16,570.0,1213.0,2.56,34.0,6.64
10,47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,50.0,67.0,-0.15,0.09,10.57,0.44,4.41,10.57,540.0,1209.0,2.39,0.0,6.67
11,48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,37.0,22.0,0.25,0.08,12.84,0.54,5.35,12.84,383.0,700.0,2.75,0.0,7.39
12,49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,31.0,28.0,0.05,0.07,10.41,0.42,4.33,10.41,323.0,768.0,2.46,1.0,6.4
13,50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,64.0,24.0,0.45,0.11,11.14,0.47,4.64,11.14,412.0,876.0,2.55,6.0,6.77
14,51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,74.0,24.0,0.51,0.1,11.69,0.45,4.86,11.69,441.0,967.0,2.57,2.0,6.67
15,52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,26.0,0.0,1.0,0.08,14.18,0.54,5.89,14.18,168.0,312.0,2.73,1.0,7.19
16,53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,78.0,39.0,0.33,0.14,120.88,0.42,48.52,120.88,409.0,967.0,2.41,42.0,6.42
17,54,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,26.0,0.0,1.0,0.04,9.95,0.54,4.2,9.95,303.0,554.0,2.55,7.0,6.88
18,55,https://insights.blackcoffer.com/evolution-of-advertising-industry/,14.0,6.0,0.4,0.04,10.29,0.55,4.34,10.29,239.0,429.0,2.66,7.0,7.49
19,56,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,3.0,4.0,-0.14,0.04,15.23,0.5,6.29,15.23,99.0,197.0,2.49,1.0,6.94
20,57,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
21,58,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,24.0,68.0,-0.48,0.11,13.6,0.49,5.64,13.6,390.0,785.0,2.53,33.0,6.79
22,59,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,17.0,15.0,0.06,0.07,12.88,0.44,5.33,12.88,181.0,411.0,2.47,12.0,6.57
23,60,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,59.0,38.0,0.22,0.09,11.2,0.43,4.65,11.2,448.0,1023.0,2.52,7.0,6.63
24,61,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,41.0,3.0,0.86,0.1,8.82,0.49,3.73,8.82,196.0,396.0,2.53,7.0,6.83
25,62,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,5.0,1.0,0.67,0.02,13.94,0.39,5.73,13.94,92.0,237.0,2.4,2.0,6.34
26,63,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,30.0,9.0,0.54,0.05,13.72,0.42,5.66,13.72,287.0,682.0,2.35,3.0,6.2
27,64,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,25.0,8.0,0.52,0.08,16.08,0.49,6.63,16.08,197.0,401.0,2.72,6.0,6.86
28,65,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,15.0,9.0,0.25,0.11,6.97,0.49,2.98,6.97,99.0,199.0,2.69,3.0,7.2
29,66,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,5.0,0.0,1.0,0.04,10.2,0.53,4.29,10.2,54.0,102.0,2.68,1.0,7.3
30,67,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,23.0,37.0,-0.23,0.13,7.96,0.37,3.34,7.96,164.0,430.0,2.34,2.0,6.37
31,68,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,9.0,2.0,0.64,0.1,11.0,0.43,4.57,11.0,47.0,109.0,2.37,0.0,6.39
32,69,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,47.0,19.0,0.42,0.08,10.38,0.58,4.38,10.38,413.0,714.0,2.88,6.0,7.42
33,70,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,10.0,18.0,-0.29,0.09,9.97,0.49,4.18,9.97,151.0,306.0,2.5,0.0,6.77
34,71,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,23.0,37.0,-0.23,0.11,11.86,0.42,4.91,11.86,250.0,584.0,2.38,4.0,6.53
35,72,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,26.0,49.0,-0.31,0.07,13.5,0.52,5.61,13.5,515.0,995.0,2.7,4.0,7.31
36,73,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,42.0,23.0,0.29,0.07,12.75,0.4,5.26,12.75,368.0,907.0,2.43,4.0,6.44
37,74,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,34.0,26.0,0.13,0.07,12.19,0.4,5.04,12.19,336.0,838.0,2.4,3.0,6.37
38,75,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,25.0,7.0,0.56,0.07,6.37,0.43,2.72,6.37,183.0,418.0,2.45,6.0,6.45
39,76,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,40.0,7.0,0.7,0.07,11.9,0.44,4.93,11.9,301.0,687.0,2.4,2.0,6.52
40,77,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,30.0,6.0,0.67,0.16,14.47,0.46,5.97,14.47,112.0,244.0,2.53,0.0,6.55
